"start_year","start_month","start_day","end_year","end_month","end_day","latitude","longitude","end_date","start_date","days_between","num_earthquakes_before_erupt","exp_num_earthquakes_before_erupt"
2018,4,1,2018,4,1,-7.2,109.879,2018-04-01,2018-04-01,0,0,0
2018,3,1,2018,6,27,31.934,130.862,2018-06-27,2018-03-01,118,3,0.149361205103592
2018,2,25,2018,2,25,-2.005,-78.341,2018-02-25,2018-02-25,0,0,0
2018,2,2,2018,2,2,2.781,125.407,2018-02-02,2018-02-02,0,1,0.367879441171442
2018,1,23,2018,1,23,36.618,138.528,2018-01-23,2018-01-23,0,0,0
2018,1,14,2018,5,30,13.434,-88.269,2018-05-30,2018-01-14,136,1,0.367879441171442
2018,1,13,2019,10,12,13.257,123.685,2019-10-12,2018-01-13,637,0,0
2018,1,5,2020,4,17,-3.608,144.588,2020-04-17,2018-01-05,833,1,0.367879441171442
2017,12,18,2017,12,18,4.892,-75.324,2017-12-18,2017-12-18,0,0,0
2017,12,9,2017,12,9,10.412,123.132,2017-12-09,2017-12-09,0,0,0
2017,11,21,2019,6,13,-8.343,115.508,2019-06-13,2017-11-21,569,1,0.367879441171442
2017,11,9,2017,11,9,-4.016,103.121,2017-11-09,2017-11-09,0,1,0.367879441171442
2017,10,21,2017,10,26,-10.386,165.804,2017-10-26,2017-10-21,5,4,0.0732625555549367
2017,10,12,2017,11,13,48.092,153.2,2017-11-13,2017-10-12,32,1,0.367879441171442
2017,10,11,2017,10,17,31.934,130.862,2017-10-17,2017-10-11,6,3,0.149361205103592
2017,9,6,2018,10,30,-15.389,167.835,2018-10-30,2017-09-06,419,9,0.00111068823678012
2017,9,4,2017,9,7,-0.37,-91.55,2017-09-07,2017-09-04,3,0,0
2017,8,18,2017,11,11,12.702,-87.004,2017-11-11,2017-08-18,85,3,0.149361205103592
2017,8,13,2017,8,13,-1.697,101.264,2017-08-13,2017-08-13,0,1,0.367879441171442
2017,7,20,2017,10,26,-2.005,-78.341,2017-10-26,2017-07-20,98,0,0
2017,7,15,2020,3,30,-8.2,119.07,2020-03-30,2017-07-15,989,0,0
2017,7,14,2017,8,28,-21.244,55.708,2017-08-28,2017-07-14,45,0,0
2017,6,11,2017,11,3,-5.05,151.33,2017-11-03,2017-06-11,145,14,1.164140206745e-05
2017,6,5,2017,6,5,12.769,124.056,2017-06-05,2017-06-05,0,0,0
2017,6,4,2017,6,4,-0.38,100.474,2017-06-04,2017-06-04,0,0,0
2017,6,4,2018,1,27,54.049,159.443,2018-01-27,2017-06-04,237,4,0.0732625555549367
2017,6,4,2018,12,7,-37.856,-71.183,2018-12-07,2017-06-04,551,1,0.367879441171442
2017,5,23,2018,3,15,10.83,-85.324,2018-03-15,2017-05-23,296,0,0
2017,5,10,2017,5,10,2.781,125.407,2017-05-10,2017-05-10,0,1,0.367879441171442
2017,4,30,2017,7,2,-7.2,109.879,2017-07-02,2017-04-30,63,0,0
2017,4,18,2017,8,17,27.247,140.874,2017-08-17,2017-04-18,121,4,0.0732625555549367
2017,4,12,2017,11,6,10.2,-84.233,2017-11-06,2017-04-12,208,0,0
2017,4,9,2020,3,24,-2.764,35.914,2020-03-24,2017-04-09,1080,0,0
2017,3,29,2017,3,29,12.3,-61.64,2017-03-29,2017-03-29,0,0,0
2017,3,25,2020,4,17,31.593,130.657,2020-04-17,2017-03-25,1119,0,0
2017,3,24,2017,4,10,51.306,156.875,2017-04-10,2017-03-24,17,1,0.367879441171442
2017,3,12,2017,3,12,-8.817,121.191,2017-03-12,2017-03-12,0,0,0
2017,2,19,2017,2,19,-6.102,105.423,2017-02-19,2017-02-19,0,0,0
2017,2,18,2017,4,19,12.702,-87.004,2017-04-19,2017-02-18,60,5,0.0336897349954273
2017,1,31,2017,2,27,-21.244,55.708,2017-02-27,2017-01-31,27,0,0
2017,1,23,2017,1,31,-20.852,-175.55,2017-01-31,2017-01-23,8,2,0.270670566473225
2017,1,15,2017,5,16,12.278,93.858,2017-05-16,2017-01-15,121,0,0
2017,1,7,2017,1,7,13.434,-88.269,2017-01-07,2017-01-07,0,1,0.367879441171442
2016,12,20,2017,8,30,53.93,-168.03,2017-08-30,2016-12-20,253,0,0
2016,11,29,2017,4,7,48.98,153.48,2017-04-07,2016-11-29,129,1,0.367879441171442
2016,11,27,2017,5,2,-1.408,29.2,2017-05-02,2016-11-27,156,2,0.270670566473225
2016,11,20,2016,11,20,53.589,159.15,2016-11-20,2016-11-20,0,2,0.270670566473225
2016,11,15,2016,11,21,-1.697,101.264,2016-11-21,2016-11-15,6,1,0.367879441171442
2016,11,6,2020,4,17,-15.787,-71.857,2020-04-17,2016-11-06,1258,1,0.367879441171442
2016,10,20,2020,4,17,50.686,156.014,2020-04-17,2016-10-20,1275,1,0.367879441171442
2016,10,11,2016,11,18,-5.05,151.33,2016-11-18,2016-10-11,38,14,1.164140206745e-05
2016,10,7,2016,11,12,32.884,131.104,2016-11-12,2016-10-07,36,7,0.00638317375888161
2016,10,5,2016,10,8,54.049,159.443,2016-10-08,2016-10-05,3,3,0.149361205103592
2016,9,21,2016,10,13,-2.764,35.914,2016-10-13,2016-09-21,22,0,0
2016,9,13,2016,9,13,-37.52,177.18,2016-09-13,2016-09-13,0,0,0
